Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
yamaha-vf250,Yamaha VF250 V MAX SHO,"<p>Yamaha's V MAX SHO 250 combines V6 power with four-stroke efficiency. Features Variable Camshaft Timing on all six cylinders for maximum power across the RPM range. Plasma-fused sleeveless cylinders reduce weight.</p><ul>
<li>Engine Type: V6 DOHC VCT</li>
<li>Displacement: 4169cc (4.2L)</li>
<li>Weight: 551 lbs (250 kg)</li>
<li>Fuel System: Multi-point EFI</li>
<li>Alternator: 70 amp</li>
<li>Variable Camshaft Timing (All 6 cylinders)</li>
<li>Compatible with Helm Master EX</li>
</ul>",Yamaha Marine,,Outboard Motor,"250HP, 4-Stroke, V6, VCT, VMAX SHO, Yamaha",true,Shaft Length,25 inch,,,,,,,,YAM-VF250-25,250000.0,shopify,3,deny,manual,21999.00,23999.00,true,true,190238475819,,,,false,,,,kg,,16300.00,active
yamaha-vf250,,,,,,,,,30 inch,,,,,,,,YAM-VF250-30,252000.0,shopify,1,deny,manual,22499.00,24499.00,true,true,190238475820,,,,,,,,kg,,16550.00,
yamaha-f150,Yamaha F150 In-Line Four,"<p>Yamaha F150 combines power with efficiency in a lightweight package. Features Variable Camshaft Timing and multi-point fuel injection. Compatible with Yamaha's Helm Master EX system.</p><ul>
<li>Engine Type: In-line 4 DOHC</li>
<li>Displacement: 2785cc</li>
<li>Weight: 487 lbs (221 kg)</li>
<li>Fuel System: Multi-point EFI</li>
<li>Alternator: 50 amp</li>
<li>Variable Camshaft Timing</li>
<li>Helm Master EX Compatible</li>
</ul>",Yamaha Marine,,Outboard Motor,"150HP, 4-Stroke, In-line, VCT, Yamaha",true,Shaft Length,20 inch,,,,,,,,YAM-F150-20,221000.0,shopify,4,deny,manual,14999.00,16299.00,true,true,190238475817,,,,false,,,,kg,,11100.00,active
yamaha-f150,,,,,,,,,25 inch,,,,,,,,YAM-F150-25,223000.0,shopify,2,deny,manual,15299.00,16599.00,true,true,190238475818,,,,,,,,kg,,11250.00,
yamaha-f115,Yamaha F115 Variable Camshaft Timing,"<p>Yamaha's F115 features Variable Camshaft Timing (VCT) for increased low-end torque. This 1.8L four-stroke delivers excellent hole shot and midrange punch. Multi-point electronic fuel injection ensures reliable starting.</p><ul>
<li>Engine Type: In-line 4-cylinder</li>
<li>Displacement: 1832cc (1.8L)</li>
<li>Weight: 377 lbs (171 kg)</li>
<li>Fuel System: Multi-Point EFI</li>
<li>Alternator: 35 amp</li>
<li>Variable Camshaft Timing</li>
<li>Warranty: 3 Year Limited</li>
</ul>",Yamaha Marine,,Outboard Motor,"115HP, 4-Stroke, VCT, Yamaha",true,Shaft Length,20 inch,,,,,,,,YAM-F115XA-20,171000.0,shopify,8,deny,manual,11499.00,12499.00,true,true,190238475815,,,,false,,,,kg,,8500.00,active
yamaha-f115,,,,,,,,,25 inch,,,,,,,,YAM-F115XA-25,173000.0,shopify,5,deny,manual,11799.00,12799.00,true,true,190238475816,,,,,,,,kg,,8650.00,
yamaha-f90,Yamaha F90 In-Line Four,"<p>Yamaha F90 features a compact in-line four design with excellent power-to-weight ratio. Multi-point fuel injection and knock sensor for optimal performance. Compatible with mechanical or digital controls.</p><ul>
<li>Engine Type: In-line 4 SOHC</li>
<li>Displacement: 1832cc</li>
<li>Weight: 353 lbs (160 kg)</li>
<li>Fuel System: Multi-point EFI</li>
<li>Alternator: 35 amp</li>
<li>Compatible with Command Link Plus</li>
<li>Knock Sensor</li>
</ul>",Yamaha Marine,,Outboard Motor,"4-Stroke, 90HP, EFI, In-line, Yamaha",true,Shaft Length,20 inch,,,,,,,,YAM-F90-20,160000.0,shopify,7,deny,manual,9799.00,10699.00,true,true,190238475813,,,,false,,,,kg,,7300.00,active
yamaha-f90,,,,,,,,,25 inch,,,,,,,,YAM-F90-25,161000.0,shopify,4,deny,manual,9999.00,10899.00,true,true,190238475814,,,,,,,,kg,,7400.00,
yamaha-f70,Yamaha F70 Mid-Range,"<p>Yamaha's F70 delivers excellent mid-range torque with microcomputer ignition for optimal performance. Features include multi-point Electronic Fuel Injection and compatibility with Yamaha digital gauges.</p><ul>
<li>Engine Type: 4-cylinder SOHC</li>
<li>Displacement: 996cc</li>
<li>Weight: 253 lbs (115 kg)</li>
<li>Fuel System: Multi-point EFI</li>
<li>Alternator: 16 amp</li>
<li>Digital Network Gauges Compatible</li>
<li>Variable Trolling</li>
</ul>",Yamaha Marine,,Outboard Motor,"4-Stroke, 70HP, EFI, Yamaha",true,Shaft Length,20 inch,,,,,,,,YAM-F70-20,115000.0,shopify,5,deny,manual,7999.00,8699.00,true,true,190238475811,,,,false,,,,kg,,5900.00,active
yamaha-f70,,,,,,,,,25 inch,,,,,,,,YAM-F70-25,116000.0,shopify,3,deny,manual,8199.00,8899.00,true,true,190238475812,,,,,,,,kg,,6000.00,
